index,grantee,pilot state owned real property_fy 2017,pilot state owned real property_gov rec original fy 18,pilot state owned real property_gov rec original fy 19,pilot state owned real property_gov rec revised fy 18,pilot state owned real property_gov rec revised fy 19,pilot state owned real property,pilot colleges hospitals_fy 2017,pilot colleges hospitals_gov rec original fy 18,pilot colleges hospitals_gov rec original fy 19,pilot colleges hospitals_gov rec revised fy 18,pilot colleges hospitals_gov rec revised fy 19,pilot colleges hospitals,mashantucket pequot and mohegan fund grant_fy 2017 ,mashantucket pequot and mohegan fund grant_gov rec original fy 18,mashantucket pequot and mohegan fund grant_gov rec original fy 19,mashantucket pequot and mohegan fund grant_gov rec revised fy 18,mashantucket pequot and mohegan fund grant_gov rec revised fy 19,mashantucket pequot and mohegan fund grant,town aid road grant_fy 2017,town aid road grant_gov rec original fy 18,town aid road grant_gov rec original fy 19,town aid road grant_gov rec revised fy 18,town aid road grant_gov rec revised fy 19,town aid road grant,local capital improvement locip _fy 2017,local capital improvement locip _gov rec original fy 18,local capital improvement locip _gov rec original fy 19,local capital improvement locip _gov rec revised fy 18,local capital improvement locip _gov rec revised fy 19,local capital improvement locip _30000000 0,local capital improvement locip ,local capital improvement locip ,adult education _fy 2017,adult education _gov rec original fy 18,adult education _gov rec original fy 19,adult education _gov rec revised fy 18,adult education _gov rec revised fy 19,adult education ,education cost sharing _fy 2017,education cost sharing _gov rec original fy 18,education cost sharing _gov rec original fy 19,education cost sharing _gov rec revised fy 18,education cost sharing _gov rec revised fy 19,education cost sharing _fy 18 ct mirror,education cost sharing ,special education_fy 2017,special education_gov rec original fy 18,special education_gov rec original fy 19,special education_gov rec revised fy 18,special education_gov rec revised fy 19,special education,grants for municipal projects_fy 2017,grants for municipal projects_gov rec original fy 18,grants for municipal projects_gov rec original fy 19,grants for municipal projects_gov rec revised fy 18,grants for municipal projects_gov rec revised fy 19,grants for municipal projects,mrsf municipal revenue sharing grant_fy 2017,mrsf municipal revenue sharing grant_gov rec original fy 18,mrsf municipal revenue sharing grant_gov rec original fy 19,mrsf municipal revenue sharing grant_gov rec revised fy 18,mrsf municipal revenue sharing grant_gov rec revised fy 19,mrsf municipal revenue sharing grant,mrsf additional payment in lieu of taxes _fy 2017,mrsf additional payment in lieu of taxes _gov rec original fy 18,mrsf additional payment in lieu of taxes _gov rec original fy 19,mrsf additional payment in lieu of taxes _gov rec revised fy 18,mrsf additional payment in lieu of taxes _gov rec revised fy 19,mrsf additional payment in lieu of taxes ,mrsf motor vehicle property tax grants_fy 2017,mrsf motor vehicle property tax grants_gov rec original fy 18,mrsf motor vehicle property tax grants_gov rec original fy 19,mrsf motor vehicle property tax grants_gov rec revised fy 18,mrsf motor vehicle property tax grants_gov rec revised fy 19,mrsf motor vehicle property tax grants,mrsf urban stabilization grants_fy 2017,mrsf urban stabilization grants_gov rec original fy 18,mrsf urban stabilization grants_gov rec original fy 19,mrsf urban stabilization grants_gov rec revised fy 18,mrsf urban stabilization grants_gov rec revised fy 19,mrsf urban stabilization grants,total statutory formula aid _fy 2017,total statutory formula aid _gov rec original fy 18,total statutory formula aid _gov rec original fy 19,total statutory formula aid _gov rec revised fy 18,total statutory formula aid _gov rec revised fy 19,total statutory formula aid ,less reimbursement from towns for teachers retirement_fy 2017,less reimbursement from towns for teachers retirement_gov rec original fy 18,less reimbursement from towns for teachers retirement_gov rec original fy 19,less reimbursement from towns for teachers retirement_gov rec revised fy 18,less reimbursement from towns for teachers retirement_gov rec revised fy 19,less reimbursement from towns for teachers retirement,local property tax revenue on hospital real property _fy 2017,local property tax revenue on hospital real property _gov rec original fy 18,local property tax revenue on hospital real property _gov rec original fy 19,local property tax revenue on hospital real property _gov rec revised fy 18,local property tax revenue on hospital real property _gov rec revised fy 19,local property tax revenue on hospital real property ,cumulative total_fy 2017,cumulative total_gov rec original fy 18,cumulative total_gov rec original fy 19,cumulative total_gov rec revised fy 18,cumulative total_gov rec revised fy 19,cumulative total,cumulative total_diff fy 18 gov rec vs gov rec ii,cumulative total_diff fy 19 gov rec vs comm,cumulative total,cumulative total_diff fy 18 gov rec vs fy 17,cumulative total
3,Andover,4211.0,11550.72,11550.72,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,9883.5,15292.59,15292.59,0.0,0.0,,190308.91,190308.91,190308.91,190308.91,190308.91,,0.0,51925.0,33043.0,51925.0,33043.0,0.000944092316647,28322.7694994,,0.0,0.0,0.0,0.0,0.0,,2331185.0,1310703.0,1310703.0,1117528.0,1117528.0,2349609.0,,136950.0,487359.0,487359.0,428458.0,428458.0,,2619.88735867,0.0,0.0,0.0,0.0,,66705.0,96020.0,96020.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,2604913.29736,2163159.22,2144277.22,1788219.91,1769337.91,,0.0,-431456.160317,-445478.504752,-423366.283622,-423366.283622,,0.0,0.0,0.0,0.0,0.0,,2604913.29736,1731703.05968,1698798.71525,1364853.62638,1345971.62638,,-366849.433305,-352827.08887,,-1240059.67098,
4,Ansonia,44259.0,74175.2,74175.2,74175.2,74175.2,,0.0,0.0,0.0,0.0,0.0,,106133.94,162949.42,162949.42,0.0,0.0,,316793.74,316793.74,316793.74,316793.74,316793.74,,0.0,335963.0,213795.0,335963.0,213795.0,0.00610842728893,183252.818668,,107666.0,106337.0,106337.0,106337.0,106337.0,,16473543.0,15691654.0,15691654.0,16169976.0,16169976.0,16582334.0,,1020537.0,5910159.0,5910159.0,7503204.0,7503204.0,,85418.5352459,0.0,0.0,0.0,0.0,,605442.0,643519.0,643519.0,0.0,0.0,,19652.0,20543.0,20543.0,0.0,0.0,,0.0,686815.398656,686815.398656,0.0,0.0,,0.0,0.0,0.0,908243.0,908243.0,,17758908.2152,23948908.7587,23826740.7587,25414691.94,25292523.94,,0.0,-1380586.9728,-1425456.11093,-1354700.73127,-1354700.73127,,0.0,0.0,0.0,0.0,0.0,,17758908.2152,22568321.7859,22401284.6477,24059991.2087,23937823.2087,,1491669.42288,1536538.56101,,6301082.99349,
5,Ashford,44.0,3379.16,3379.16,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,15817.56,23220.85,23220.85,0.0,0.0,,291997.27,291997.27,291997.27,291997.27,291997.27,,0.0,91697.0,58353.0,91697.0,58353.0,0.00166722066749,50016.6200248,,0.0,0.0,0.0,0.0,0.0,,3859564.0,2217857.0,2217857.0,2088701.0,2088701.0,3850658.0,,172340.0,956195.0,956195.0,1049861.0,1049861.0,,3582.14306467,0.0,0.0,0.0,0.0,,87248.0,125591.0,125591.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,5238.54577114,5238.54577114,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,4258252.97306,3715175.82577,3681831.82577,3522256.27,3488912.27,,0.0,-452002.977748,-466693.094666,-443527.844718,-443527.844718,,0.0,0.0,0.0,0.0,0.0,,4258252.97306,3263172.84802,3215138.73111,3078728.42528,3045384.42528,,-184444.42274,-169754.305823,,-1179524.54778,
6,Avon,0.0,68225.69,68225.69,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,12668.7,18973.18,18973.18,0.0,0.0,,312623.14,312623.14,312623.14,312623.14,312623.14,,0.0,199736.0,127104.0,199736.0,127104.0,0.0036315690507,108947.071521,,1985.0,1789.0,1789.0,1789.0,1789.0,,731456.0,0.0,0.0,0.0,0.0,789731.0,,1081136.0,836152.0,836152.0,0.0,0.0,,261442.217156,0.0,0.0,0.0,0.0,,374711.0,539387.0,539387.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1694886.05716,1976886.01,1904254.01,514148.14,441516.14,,0.0,-2887734.92049,-2981586.43408,-2833589.39753,-2833589.39753,,0.0,0.0,0.0,0.0,0.0,,1694886.05716,-910848.91049,-1077332.42408,-2319441.25753,-2392073.25753,,-1408592.34704,-1314740.83345,,-4014327.31469,
7,Barkhamsted,1682.0,11858.02,11858.02,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,11200.2,16480.07,16480.07,0.0,0.0,,195445.95,195445.95,195445.95,195445.95,195445.95,,0.0,65435.0,41640.0,65435.0,41640.0,0.00118972904651,35691.8713952,,1595.0,1629.0,1629.0,1629.0,1629.0,,1633686.0,1042179.0,1042179.0,774811.0,774811.0,1658120.0,,129710.0,548719.0,548719.0,343196.0,343196.0,,41462.056636,0.0,0.0,0.0,0.0,,76324.0,109867.0,109867.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1961395.20664,1991613.04,1967818.04,1380516.95,1356721.95,,0.0,-409943.610004,-423266.795596,-402257.097302,-402257.097302,,0.0,0.0,0.0,0.0,0.0,,1961395.20664,1581669.43,1544551.2444,978259.852698,954464.852698,,-603409.577298,-590086.391706,,-983135.353938,
8,Beacon Falls,20772.0,29863.69,29863.69,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,19080.6,28405.42,28405.42,0.0,0.0,,188619.8,188619.8,188619.8,188619.8,188619.8,,0.0,69292.0,44095.0,69292.0,44095.0,0.00125985642379,37795.6927136,,0.0,0.0,0.0,0.0,0.0,,4067920.0,2884974.0,2884974.0,2558612.0,2558612.0,4104004.0,,269328.0,1090241.0,1090241.0,1029481.0,1029481.0,,43808.6846395,0.0,0.0,0.0,0.0,,123341.0,177547.0,177547.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,23085.8661538,23085.8661538,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,4463542.08464,4492028.77615,4466831.77615,3846004.8,3820807.8,,0.0,-637284.838358,-657996.624001,-625335.638796,-625335.638796,,0.0,0.0,0.0,0.0,0.0,,4463542.08464,3854743.9378,3808835.15215,3220669.1612,3195472.1612,,-634074.776592,-613362.990949,,-1242872.92344,
9,Berlin,447.0,19236.11,19236.11,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,28660.5,44319.34,44319.34,0.0,0.0,,333299.02,333299.02,333299.02,333299.02,333299.02,,0.0,232446.0,147920.0,232446.0,147920.0,0.00422629721012,126788.916303,,15206.0,13556.0,13556.0,13556.0,13556.0,,6215712.0,2388577.0,2388577.0,655376.0,655376.0,6358155.0,,614817.0,2054434.0,2054434.0,832050.0,832050.0,,786395.767053,0.0,0.0,0.0,0.0,,843048.0,1213548.0,1213548.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,8222768.28705,6299415.47,6214889.47,2066727.02,1982201.02,,0.0,-2441491.668,-2520840.256,-2395713.28224,-2395713.28224,,0.0,0.0,0.0,0.0,0.0,,8222768.28705,3857923.802,3694049.214,-328986.262241,-413512.262241,,-4186910.06424,-4107561.47624,,-8551754.54929,
10,Bethany,5865.0,24765.2,24765.2,0.0,0.0,,15096.0,12175.0,12175.0,0.0,0.0,,10513.14,15439.78,15439.78,0.0,0.0,,211060.5,211060.5,211060.5,211060.5,211060.5,,0.0,86280.0,54905.0,86280.0,54905.0,0.00156872961156,47061.8883468,,0.0,0.0,0.0,0.0,0.0,,2000209.0,810951.0,810951.0,348982.0,348982.0,2037855.0,,227257.0,497486.0,497486.0,0.0,0.0,,67229.2442375,0.0,0.0,0.0,0.0,,114329.0,164574.0,164574.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,98720.5250737,98720.5250737,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,2424301.88424,1921452.00507,1890077.00507,646322.5,614947.5,,0.0,-749832.651757,-774202.246351,-735773.161472,-735773.161472,,0.0,0.0,0.0,0.0,0.0,,2424301.88424,1171619.35332,1115874.75872,-89450.6614724,-120825.661472,,-1261070.01479,-1236700.4202,,-2513752.54571,
11,Bethel,149.0,21081.47,21081.47,0.0,0.0,,6.0,0.0,0.0,0.0,0.0,,32235.72,48774.44,48774.44,0.0,0.0,,320239.19,320239.19,320239.19,320239.19,320239.19,,0.0,218482.0,139034.0,218482.0,139034.0,0.0039724059225,119172.177675,,12704.0,11259.0,11259.0,11259.0,11259.0,,8087732.0,4209487.0,4209487.0,2598334.0,2598334.0,8216421.0,,719566.0,2666383.0,2666383.0,1447507.0,1447507.0,,282659.689657,0.0,0.0,0.0,0.0,,392605.0,565146.0,565146.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,17483.8022143,17483.8022143,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,9128330.59966,8078335.90221,7998887.90221,4595821.19,4516373.19,,0.0,-2332958.56888,-2408779.82633,-2289215.19727,-2289215.19727,,0.0,52363.4307,52363.4307,52363.4307,52363.4307,,9128330.59966,5797740.76403,5642471.50659,2358969.42343,2279521.42343,,-3438771.3406,-3362950.08316,,-6769361.17623,
12,Bethlehem,158.0,631.62,631.62,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,8987.22,13340.64,13340.64,0.0,0.0,,212549.31,212549.31,212549.31,212549.31,212549.31,,0.0,60670.0,38608.0,60670.0,38608.0,0.0011030925537,33092.776611,,0.0,0.0,0.0,0.0,0.0,,1278838.0,365921.0,365921.0,157490.0,157490.0,1280017.0,,95514.0,247774.0,247774.0,0.0,0.0,,7944.72335388,0.0,0.0,0.0,0.0,,42762.0,61554.0,61554.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1551239.25335,962440.57,940378.57,430709.31,408647.31,,0.0,-304100.71981,-313984.006754,-298398.779376,-298398.779376,,0.0,0.0,0.0,0.0,0.0,,1551239.25335,658339.85019,626394.563246,132310.530624,110248.530624,,-526029.319566,-516146.032622,,-1418928.72273,
